context,slot,value,label
"i would like to reserve a taxi from my hotel to the airport
i would be more than happy to assist you with that however , i need some more information please .
i am sorry , i'll actually need a restaurant that s in centre and is in the moderate price range .
there are quite a few moderate -ly priced restaurant -s in the city centre . do you have a cuisine preference ?
i would prefer something latin american , if there s something in the area . nothing too expensive , but certainly not a fast food restaurant .
i do not have any moderate -ly priced restaurant -s in the centre of town serving latin american food .
how about italian food instead ?
i am sorry there no italian restaurant -s either . would you like to try a different price range or food ?
are you sure there are no moderate -ly priced italian restaurant -s in the centre ? i could have sworn someone told me about 1 . .
yes i have 2 pizza place -s to choose from . would you like me to suggest 1 and make a booking for you ?
yes , please . for 5 people at 15:15 on saturday .",restaurant book time,15:15,
"i am planning a trip to cambridge i am looking for place -s to go in centre .
what type of attraction are you looking for ?
anything , really , just trying to kill some time . what s your favorite attraction ?
there are churches , boats , cinemas , museums and colleges in the city centre . would you like information on any of them ?
surprise me ! can you send me the postcode of the attraction you choose ?
you should go see holy trinity church , the stained glass there is simply amazing . the postcode is cb23nz . can i help you with anything more today ?
yes i am also looking for a moderate -ly priced restaurant in the same area .
there are 21 different restaurant -s that match your criteria . do you have a type of food you prefer ?
any food will be just fine . once you find the restaurant you want to book a table for 7 people at 13:30 on friday . if the booking fails how about 12:30 . make sure you get the reference number
just to confirm before making a booking: how about yippee noodle bar ? it is in the centre of town and moderate -ly priced . would you like this booked ?
yes , 7 people at 13:30 on friday .
i am sorry but that was unsuccessful . can i try a different restaurant ?
how about 12:30 ? are there any tables open then ?",restaurant book time,12:30,
"i am taking my ferret to see place -s in town , any ideas ?
is your ferret religious ? perhaps you would like to visit a beautiful church and appreciate the architecture ?
my ferret hates churches . very atheist .
does you atheist ferret have a preference of the area in town you may like to go ?
they like the west side of town .
does your ferret plan on furthering their education ? i have several colleges that are favorite attractions .
no we just want to do something fun on the west side . please give me a list of 5 attractions with the phone numbers and address .
there are over 13 attractions on the west side . in order for me to narrow them down , please tell me what you are interested in colleges ? museums ?
my ferret would prefer a museum .
i found several museums . i might suggest cafe jello gallery but i am not sure if they allow ferrets .
i need the address
the address is , 13 magdalene street
i am also looking to eat some catalan food .
there are no catalan restaurant -s in the city , is there another cuisine you and your ferret are fond of ?
we like european food .
hotel du vin and bistro is what i recommend , great food and ferret friendly , would you like more information ?
could you book me for 1 on friday ?
yes , what time will you be dining ?
19:00 if it is available , please .",restaurant book time,19:00,
"i need a information on restaurant . is there any cheap chinese restaurant ?
charlie chan is a cheap chinese restaurant located in the centre area would you like me to make a reservation for you ?
is that the only 1 you have in the centre area that is cheap . is it good ?
there is also the rice house downtown . they are located at 88 mill road city centre .
give me phone number for the first 1 , please
certainly . the phone number for charlie chan is 01223361763 . is there something else i can help you with today ?
can you book me a room in the home from home guest house ?
i can , what day would you like to go , how many nights would you like to stay , and how large will your party be ?
5 people and 3 nights starting from thursday .
i was able to book that for you . your reference number is 724pgt2e . is there anything else i can assist you with today ?
would it be possible to get a taxi to commute from the hotel to the restaurant ?
yes but i need to know what time to you want to leave or arrive at the restaurant .
actually , i need to leave charlie chan by 11:15 and go to home from home .",taxi leave at,11:15,
"i would like to book a taxi to soul tree nightclub .
it would be my pleasure to book that for you . what time would you like to leave or arrive ?
i want to leave after 15:30",taxi leave at,15:30,
"i am looking for a local , cheap place to eat .
there are a total of 22 restaurant -s that are cheap . any particular food type you would like ?
yes , i am looking for portuguese food .
i found 2 restaurant -s in the area that serve portuguese food . would you like me to book 1 now ?
no thank you , could you provide me with the phone number and postcode ?
the phone number is 01223327908 and postcode is cb23ar
thank you i need a place to stay also . i was hoping to stay in the east .
there are 5 hotel -s in the east . do you prefer the moderate or cheap price range ?
i do not really know what price range . i would like it to have a 3 star rating and free wifi though .
i was not able to find any hotel -s matching that requirement .
ok , could you check in the south area for 1 instead ?
i found two: bridge guest house in a moderate price range or the lensfield hotel in an expensive price range . would you like to book 1 ?
okay , what is the postcode of the bridge guest house ?
the postcode for the bridge guest house is cb28rj .
i will need a taxi from the hotel to the restaurant . i want to leave the hotel by 7:15 .",taxi leave at,07:15,
i need a taxi leaving after 21:00 .,taxi leave at,21:00,
i need a taxi to take me to museum of classical archaeology to leave after 15:15 .,taxi leave at,15:15,
"hi , i need a taxi to gourmet burger kitchen going from hamilton lodge !
when would you like to get there by ?
i want to leave after 4:00 .",taxi leave at,04:00,
"hello , i would like to book a taxi from restaurant 2 two to the museum of classical archaeology .
sure , i can help with that . when would you like to leave or arrive ?
i need to be picked up by 11:00 .",taxi leave at,11:00,
"where is whipple museum of the history of science located ?
the address is free school lane and the postcode is cb23rh .
what is the type of attraction and area for the whipple museum ?
the whipple is a museum type attraction located in the centre area . can i do anything else for you ?
i need a moderate place to stay , with free parking .
we have 14 options available to you . is there a certain area you are wanting to stay in ?
i am looking for a hotel type that is a guest house and have a star of 4 .
great , that narrows it down to 9 entries . how about the archway house ? it is in the north and is priced at moderate .
sure . can you give me the phone number and postcode ?
yes . the phone number is 01223575314 and the postcode is cb43pe .
i would also like to book a taxi please .
i can do that for you . please give me your departure place and time .
i would like to go from the whipple museum to the archway house . i want to leave the museum by 02:45 .",taxi leave at,02:45,
"i am looking for some kind of entertainment in the centre of cambridge . can you help ?
unfortunately there are no entertainment venue -s in centre area . i could recommend the man on the moon concert hall , would that interest you ?
no , maybe a museum instead . are there any of those ?
i have 11 different museums in the city centre . might i suggest the scott polar museum . they have several new exhibits to see . would you like more info ?
sure can i have their address and postcode please ?
the museum address is lensfield road with a post code of cb21er . may i look up something else ?
i also need a place to eat someplace close to scott polar museum . i am splurging so i want something expensive .
there are lots of restaurant -s that fit your criteria . is there a specific food you would like ?
i would like it to be indian food .
my recommendation is curry garden . it fits all of your criteria .
okay , can you give me the address for curry garden ?
they are located at 106 regent street city centre .
i also need a taxi between the scott polar museum and the curry garden
sure , when will you need the cab ?
i would like to leave the restaurant by 20:00 .",taxi leave at,20:00,
"i need information on a hotel that include -s free parking please .
there are 29 hotel -s that meet your needs . would you like to narrow your search by area and and or price range ?
i also need free wifi , and it needs to be a hotel , not a guest house or anything like that .
the ashley hotel is in the north area of town in the moderate price range with internet and parking . would you like to book a room ?
yes please , for 5 people and 4 nights on friday .
the booking for ashley hotel was successful . reference number is : 0m3jw724 .
thank you for your help . can i find a place to eat , i am looking for a place serving christmas food in the centre .
i am very sorry but there are no restaurant -s serving christmas food in the centre . is there another area i could look in for you , or another type of cuisine ?
no , i really wanted christmas food in town centre , can you look for an expensive 1 ?
i am very sorry , but there are are no restaurant -s that serve expensive christmas food in the centre . are you sure you do not want me to look in another area ?
how about an indian restaurant in the centre ? in the expensive range .
there are several indian options in the expensive price range in the town centre . how about the golden curry ?
yes , please give me their phone number .
of course ! the golden curry can be reached at 01223329432 . may i help you with anything else ?
i also need a taxi from the restaurant to the hotel . i would like to leave the restaurant by 5:00 .",taxi leave at,05:00,
"i would like a taxi please
i would be happy to help with your request , fist i'll need to know your departure site and destination .
what time do you need at taxi and from where ?
where would you like to be picked up from ?
i actually need to arrive at 19:30 .
i would be happy to help ! where are you coming from ?
i am departing from frankie and bennys",taxi departure,frankie and bennys,
"i am looking for a hotel with free parking and free wifi .
i have 8 hotel -s that offer free parking and wifi . do you have a preference for an area to stay in ?
we are looking for a guest house , preferable a fancy and expensive 1 .
there are no expensive guest houses .
okay how about a moderate -ly priced 1 then ?
i am sorry there are no expensive guest house either . would you like to try cheap price range or a hotel instead ?
yes a moderate -ly priced hotel would be fine .
the archway house is a popular 4 star guest house in the north part of town in the moderate price range with free internet and parking . should i book it ?
yes . please book it for monday . 3 nights , 6 people . i'll also need the reference number .
you are all set ! your reference number is 7cidi5rh . is there anything else i can help you with today ?
thanks ! i am also looking for a particular attraction called saint catharine s college .
saint catharine s college in the centre of cambridge . what information would you like about the college ?
just the address and phone number please .
saint catharine s college information is: tel . 01223338300 , postcode: cb21rl , address: king s parade .
can you help me book a taxi to travel between the 2 place -s ?
ywa which spot will you be leaving from and do you have an estimated time ?
i want to leave the hotel by 07:00 .",taxi departure,archway house,
"hi , i am looking for a guest house to stay at in the south area of cambridge . can you help me ?
i have 3 of them 2 that are moderate priced and 1 that is cheap . do you have a preference ?
i would like a moderate priced 1 with a 3 star rating .
bridge guest house has a 3 star rating and is in the moderate price range and is located in the south . would you like me to book a room ?
can you book that for 7 people for 5 nights starting on friday ?
your reference number is 7hhyrfa1 . can i help you with anything else ?
i am also looking for a place to eat that is in the same area as the hotel and the same price range .
sure , i have 2 moderate -ly priced restaurant -s in the south . they are pizza hut cherry hinton and restaurant alimentum . do either interest you ?
can you get us a table at restaurant alimentum at 11:30 on friday ?
i was able to book your table for friday at 11:30 for 7 people , your reference number is eo14chvw . is there anything else i can help you with ?
yes , can you get me a taxi from the bridge guest house to restaurant alimentum . i would need to arrive by 11:30 .",taxi departure,bridge guest house,
"i am looking for a hotel . i want it to have free wifi , but parking does not need to be free .
there are many lodgings with free wifi , would you prefer any particular area of town ?
no but i would like it to be a 2 star place .
there are 3 hotels: the ashely hotel , express by holiday inn cambridge , and lovell lodge . they all have free wifi and parking . do any of these sound good ?
yes , i would like to hear more about the ashley hotel please .
the ashley hotel is located in the north . it is moderate -ly priced and has 2 stars . they offer free internet and parking . would you like me to book you a room ?
i would like the postcode and phone number please .
yes , the phone number is 01223350059 and the postcode is cb41er .
thank you . are there any korean restaurant -s in the city centre ?
little seoul is an expensive korean restaurant in the centre . would you like to book it ?
no i can do that , can i have the contact information please ?
certainly . their phone number is 01223308681 , and they are located at 108 regent street city centre , postcode cb21dp . can i help you with something else today ?
i changed my mind , can you book the restaurant for 2 people on saturday at 19:45 and send me the reference number once booked .
booking was successful . the table will be reserved for 15 minutes . reference number is : 4ycrsk69 . will you need anything else ?
i also need a taxi to commute between the 2 place -s .",taxi departure,ashley hotel,
"is there any hotel in the area with 4 stars and i can get for cheap price .
i found the cambridge belfry , a 4 star cheap hotel . would you like to book ?
i would just like to know first if this place include -s free parking ?
yes it does include free parking .
ok , can i have their phone number ? oh , and they have free wifi , right ?
yes , they do offer free wifi . the number is 01954714600
i am also looking for a restaurant in the east that serves indian food .
there are 4 restaurant -s that match your search . what price range would you like ?
the price range does not matter . can you give me a few names to choose from ?
the choices are curry prince , pipasha restaurant , rajmahal , and sitar tandoori . would you like to book a table at 1 of these ?
i do not need a table , but can i get the address , postcode and price range for curry prince ?
yes sure . the curry prince s telephone number is 01223566388 . and their address and postcode are 451 newmarket road fen ditton cb58jj .
what is the price range for the curry prince ?
the price range is moderate .
thanks ! now , can i get a taxi from the cambridge belfry to the curry prince ? i need to leave the hotel by 4:00 .",taxi departure,cambridge belfry,
i need to find a taxi departing from alimentum .,taxi departure,restaurant alimentum,
"i need a taxi to take me to museum of classical archaeology to leave after 15:15 .
sure ! what time do you want to arrive by ?
1600 thank you
i would be happy to help ! where are you coming from ?
sorry , it actually does not matter when i arrive . i just want to leave after 15:15 . and i'll be coming from la tasca .",taxi departure,la tasca,
"i am looking for the hamilton lodge in cambridge
sure , it is at 156 chesterton road , postcode cb41da .
please book it for 2 people , 5 nights beginning on tuesday .
done . your reference number is qnvdz4rt .
thank you , i will be there on tuesday !
is there anything more i can assist you with today ?
i am looking for place -s to go in town .
what sort of place are you looking for ?
i would like to visit a college in the center of town .
i really like gonville and caius college ! how does that sound ?
sounds great ! is there an entrance fee ? i would like to book a taxi and leave the college by 07:45 . may i have the contact number and car type ?",taxi departure,gonville and caius college,
"i need a taxi to meet me at my restaurant .
what location and time would you like to get the taxi for ?
im in cambridge central and would like to be picked at 1200hrs
i need more information about your location . what is your exact departure site and what is your destination ?
actually never mind . i would just like to find a college to visit in town .
we have many colleges , is there are particular part of town you are interested in ?
no , no particular part of town . i will take a recommendation from you . i will need the postcode , area , and entrance fee please .
okay christ s college is free and is in the centre . the address is saint andrew s street and post code is cb23bu .
okay , thank you . i am also looking for a place to stay . it needs to be in the centre , moderate -ly priced , and include wifi .
cityroomz would suit your needs . would you like me to book it for you ?
yes i would like it for 4 people and 4 nights starting saturday .
okay , you've got it . i booked successfully for you , and the ref . number is 103oaaxg
that s great , thanks , have a good day .
can i look up anything else for you ?
yes i would need a taxi
do you want the taxi taking you from the hotel or to the hotel ? what time do you wish to arrive or depart ?
i need to leave the hotel by 10:00 .
where are you looking to travel ?
going from attraction to hotel .",taxi departure,christ college,
"i am interested in seeing the whipple museum of the history of science in cambridge . where is it located ?
it is located at free school lane cb23rh and their phone number is 01223330906
could you also tell me what type of attraction that is and i will also need to know what area of town that is in .
it is a museum that is located in the centre of town .
thank you and i am also looking for the alexander bed and breakfast .
i can give you information on that . alexander bed and breakfast is a guest house in the centre of town . it is relatively cheap , has a 4 star rating . would you like to book here ?
yes , i would like to book for 4 people for 2 nights , starting friday .
booking was successful and your reference number is lcf5iper .
can you also book me a taxi to take me between the 2 place -s ? i want to leave the attraction by 04:15 .",taxi departure,whipple museum of the history of science,
"my friend was there on business last month and said i absolutely had to try a restaurant called the nirala . can you tell me about it ?
the nirala is indian food at a moderate price range in the north area . the address is 7 milton road , chesterton .
great , can you book me a table on sunday at 18:30 for 6 people ?
unfortunately , that booking was unsuccessful . would you like to try for a different time ?
how about 17:30 instead ?
yes , the booking was successful ! your reference number is gwd5rfuq .
great ! i am also looking for a place to go on the west side of town . what would you recommend ?
if you are looking for some entertainment , i would highly recommend the whale of a time building !
that sounds interesting , what type of attraction is it ?
it s an entertainment venue . i also have museums and colleges , if that s more to your interests .
let s go with the whale of a time building . what , s the address and entrance fee ?
the entrance fee is unknown the address is unit 8 , viking way , bar hill
please book it for me
i am afraid they do not take bookings .
oh ok . can i get a taxi from whale of a time to the nirala . i want to get to the restaurant by 17:30 .",taxi destination,nirala,
"can you tell me what guest houses are available in the east ?
there are 6 guest houses in the east side of town , with varying price range -s and amenities . do you require parking ?
i do not care about parking . i would like free wifi however .
what price range can i check in ?
any price is fine
i would suggest allenbell then .
can i get the address ?
the allenbell is located at 517a coldham lane . may i help you with anything else today ?
yeah , what s their postcode ?
their postcode is cb13js
i am also looking for place -s to go in town that are in the same area as the hotel .
how about the cambridge artworks museum ? it has free admission .
that sounds interesting . could you give me the address ?
the address is 5 greens road , cb13ef is the postcode . is there anything else i can help you with ?
can you arrange a taxi from cambridge artworks museum to the allenbell . i want to leave the museum by 04:45 .",taxi destination,allenbell,
"hello , i am looking for a place to stay that offers free parking .
what area would you like the hotel in ?
i would like it to be in south please .
is there a price you are looking for ?
i am looking for an expensive place to stay .
would you like a hotel or guest house ?
i would like a hotel please .
i have 1 hotel that would suit your needs . it s called the lensfield hotel . they offer free parking and free wifi . can i book you a room ?
how many people ?
how many people will be staying with you ?
i need it booked for 3 people for 5 nights starting from friday .
booked ! reference number: 68sv7auh .
thank you , i also need to find a place to eat serving mexican food in the same area as the hotel
there s the chiquito restaurant bar but its rather expensive . if that s okay , i can help you make a reservation .
can i have the phone number and post code for that please ?
their phone number is 01223400170 and their postcode is cb17dy
i need a taxi from the hotel to the restaurant , leaving the hotel by 02:30 , i have to make sure im first in line when they open for breakfast .",taxi destination,chiquito restaurant bar,
"can you tell me if there are any cinemas in the west part of town ?
i am sorry , but there are no cinemas in that part of town .
okay could you check for museums instead ?
there are 7 museums in the west area . cambridge and county folk museum is 1 of them . would you like information on it ? or i can tell you about some others .
county folk sounds good . can i get the address please ?
the address for cambridge and county folk museum is 23 castle street .
thank you , i also need a place to stay in the south with free wifi .
there are 3 guest houses and 1 hotel . all offer free wifi . do you have a preference of the area or type ?
im sorry , can i get the phone number and postcode for the museum first ?
phone number is 01223355159 and the post code is cb30aq . what did you have in mind for the hotel ?
no thank you that will be all
are you sure ? the hotel is expensive and the guest houses are either cheap or moderate price range . i can help you further .
yes , actually . i would like a guest house in the south that has free wifi . price does not matter to me , i just want to make sure i can connect to the internet .
i can suggest the lensfield hotel .
great . i'll be needing to arrive on sunday .
i do apologize , the lensfield hotel is not a guest house . if star rating is not important , may i suggest bridge guest house ? they are fantastic .
yes please . i need a reservation for 3 people please .
how many days will you be staying at the hotel ?
i will be staying for 5 nights .
your reference number is p3pezywq .
i also need a taxi .
nice where from , and what is your destination request ?
i need it to leave my hotel by 19:00 and take me to the attraction .",taxi destination,cambridge and county folk museum,
"i am looking for a place to go in the centre of town specializing in architecture .
we have 5 place -s to pick from any other preferences ?
no i do not . i do need the phone number and entrance fee .
i have 5 , 4 of them have free entrance and 1 with 2 pounds fees . do you want all the phone numbers ?
yes . give me the phone numbers .
i'll give you the phone number for all saints church . it is 01223452587 .
can you book tickets for me ?
no we do not book tickets for the attractions from here , but they do not charge a fee , anyone can go in for free . can i help you with anything else ?
i will need a hotel in the same area , preferably 4 stars and include free parking and internet . i will need a booking for 5 people , 5 nights starting saturday .
reference number is : lbmyiyti . is there anything else i can do for you ?
what is the name of the hotel please ?
here you go university arms hotel
thank you for your help . that is all i needed .
you are welcome . can i help you with any other information today ?
i would also like to book a taxi from the hotel , leaving by 11:15
what destination would you like your taxi to take you to ?
i want to leave the hotel at 11:15 and get to all saints church .",taxi destination,all saints church,
"i need to find a nightclub in cambridge
the ballare , located in the city centre is quite popular .
could i get the entrance fee for the ballare please ?
admission will cost you 5 pounds , anything else ?
yes , please . i am looking for a place to dine in the centre of town that is in the moderate price range .
the oak bistro is in the centre of town the address is 6 lensfield road the price range is moderate
does it serve modern european ? that is really what i am in the mood for .
it is not . it serves british food . there are 2 modern european restaurant -s in the centre . would you prefer 1 of those ?
yes please pick a moderate 1 and book me a table for 5 people on tuesday at 14:45 .
okay , reservation made at de luca cucina and bar . reference number is : 0xfpi4ib .
thank you for your help !
you are welcome . can i further assist you ?
yes . i would like a taxi from the nightclub to the restaurant in time for my reservation .",taxi destination,de luca cucina and bar,
"i am looking for a place to eat at that s moderate -ly priced in the centre of cambridge .
i have found 21 different place -s that suit your needs . is there a particular type of food you are looking for ?
yes , i am looking for british food please .
there are 4 restaurant -s to choose from . restaurant 17 , the oak bistro , the copper kettle , and cotto . which would you like more information on ?
the would like more information on the copper kettle
sure ! it serves british food in the moderate price range .
can i get the phone number , postcode , and address for that please ?
their number is 01223365068 . do you need anything else ?
thanks , yes , actually . i need to find some lodging accommodations . i would like a 0 star guest house , please .
there are 2 . they have the same features except 1 is in the north and the other is in the centre . which 1 would you like ?
i would like to book whichever 1 is in the same area as the copper kettle
i have the el shaddai . it s a cheap guest house in the centre of town . they offer free internet and parking . would you like me to book you a room ?
yes , please . we need to book for 3 people . we're arriving on monday and we'd like to stay for 3 nights .
i was able to book the el shaddai successfully , 3 people for 3 nights , and the reference number is o0c7ri4u .
can you get me the address and postcode for the copper kettle ?
certainly . it s at 4 kings parade city centre , and the postcode is cb21sj . is there anything else i can do for you ?
can you help me book a taxi between the copper kettle and el shaddai ? i would need to leave the restaurant by 23:45 .",taxi destination,el shaddia guest house,
"i am looking for place -s to go , preferably a museum located in the east .
i have several and most include free admission . how about cambridge artworks ?
that sounds interesting . can you give me the address ?
you will find cambridge artworks at 5 greens road .
i am looking for a place to eat as well . somewhere that is in the same area as the museum and serves gastropub food .
i have found 1 location that matches those criteria , the royal standard . would you like me to book you a table ?
no thank you , i would just like the postcode for it please .
the postcode is cb13nl . is there anything else i can help you with ?
would you be able to arrange taxi service from cambridge artworks to royal standard leaving by 13:30 ?",taxi destination,royal standard,
"can you help me with finding a restaurant called backstreet bistro ?
certainly . it is a gastropub located in the centre of town , and the address is 2 sturton street city centre .
can you book me a table for 5 there on monday at 15:15 ?
your table has been reserved and will be held for 15 minutes . reference number rmkd81jf . would you like help with anything else today ?
i am also looking for a park in the east . do you have any suggestions ?
cherry hinton water play park east 01223446100 cb18dw cherry hinton hall , cherry hinton road free
that sounds cool . what is the cost ?
that park has no entrance fee ! can i help you with anything else today ?
i like free ! what was their phone number ? might be in there , but it s all a bit smooshed together . also , i would like to book a car service or taxi .
their phone number is 01223446100 and where would like that taxi to pick you up ?
what is the car type ?
i need to tell it where you are going from and to , and what time , before it can assign a specific car for you . could you help me with that info ?
i apologize . i need to go from the cherry hinton water play to backstreet bistro by 15:15 please .",taxi destination,backstreet bistro,
"can you tell me about the cote restaurant ?
cote is an expensive french restaurant in the centre . do you want the address and phone number or for me to book you a table ?
yes , i need a table for 2 people at 13:00 on tuesday .
i was able to book you a table please be on time they can only hold it for 15 minutes . your reference number is idpgs1jz . do you need anymore help ?
i also need to find something to do .
there are lots of attractions to go to in the city . in the center of town there are 44 results alone . what or where do you have in mind ?
is there a theatre in the city centre ?
there are 4: adc theatre , cambridge arts theatre , mumford theatre , and the cambridge corn exchange . which would you like to visit ?
what s the phone number and address for the adc theatre ?
the phone number is 01223300085 and the address is park street . is there anything else i can help you with ?
yes please , i would like to book a taxi between the restaurant and theatre .",taxi destination,adc theatre,
"can you still book hotel -s for me ?
i sure can ! what area and price range are you looking for ?
price is not important , but i would like a 2 star in the east .
how does the express by holiday inn cambridge sound ? it has free wifi and parking available . i would be happy to book a room for you if you would like .
it sound s good , please book a room for 2 nights for 1 person .
i can absolutely do that for you ! what day would you like me to book for ?
i actually need it booked for 3 nights , starting monday .
how many people will be staying ?
it will be just me .
your reference number is fiyhhu9l . is there anything else i can help you with ?
yes , i am also looking for a dining option that serves eastern european food that s expensive .",restaurant food,eastern european,
"hello , i am look for information about restaurant -s in cambridge . i would like them to be fine dining and serve catalan food .
i am sorry but there are not any fine catalan restaurant -s in cambridge .
there s nothing in the city centre ? nothing in the expensive price range ?
there are 33 expensive establishment in the centre , none of which are catalanan , do you want me to lookup another restaurant type ?
yes , are there any that serve british food ?",restaurant food,british,
"i am looking for an expensive restaurant in the centre .
i can recommend several restaurant -s in the centre of town . are you looking for any type of food in particular
yes , caribbean food please .",restaurant food,caribbean,
"hi , i am looking for a moderate -ly priced restaurant in the centre of town .
there are several restaurant -s in that area . would you like british , asian , european , italian or something different ?
asian sounds good . could you book a table for 1 people at 16:45 on saturday ?",restaurant food,asian oriental,
are there any restaurant -s that serve christmas food around ?,restaurant food,christmas,
"i would like to find a place that i can get some northern european food .
unfortunately , i was unable to find a restaurant that serves northern european food . is there anything else i can help you with ?
okay , what about a restaurant that serves modern european food ?",restaurant food,modern european,
"i am looking for a restaurant on the east side of cambridge that serves kosher food .
i am sorry , there are no restaurant -s matching those specification -s . would you like to check a different area of town ?
how about 1 in the same location with indian food ?",restaurant food,indian,
"can you help me find a place in the north where i can stay ?
sure i have 5 guest houses all in the moderate price range . when is your stay ?
do any of them have a 4 star rating ?
yes , actually they all have 4 star rating -s , do you need parking ?
yes , i would like to book 1 that offers parking please .
kirkwood house is a lovely place i would recommend . what day will you be checking in , how long will you be staying , and how many people will it be for ?
i actually just need information on the kirkwood house . what is the postcode and phone number please ?
okay , the postcode is cb41da and the phone number is 01223306283 .
i am also looking for a restaurant to book for friday
i have 5 different restaurant -s i can give you some information for . they are all pretty good .
i am looking to eat indian .",restaurant food,indian,
"hi , i am searching for a nice thai restaurant in cambridge centre",restaurant food,thai,
"i am looking for a cheap restaurant in the city centre .
there are 15 cheap restaurant -s available in the centre area . are you looking for a particular type of food cuisine ?
i am not looking for anything in particular , could you choose 1 and book a table at 13:45 for 2 on wednesday ?",restaurant food,any,
i am looking for a japanese restaurant in the north of the centre .,restaurant area,north,
i have got a hankering for some spanish food is there any where good in the centre of town ?,restaurant area,centre,
"i need a train from cambridge leaving after 18:30 in the evening please .
and what is your destination please ?
london liverpool street . i need the train for wednesday .
i have 3 trains matching your preferences . would you like me to book tr6037 that leaves at 19:59 ?
yes , that should be fine , can you tell me how long is the travel time ?
the duration is 88 minutes . how many tickets would you like to book ?
i do not know at this time . i would have to check .
okay ! the price for each ticket would be 16.60 pounds .
are there any restaurant -s that would be in the west ?",restaurant area,west,
"can you help me find a place in the north where i can stay ?
sure i have 5 guest houses all in the moderate price range . when is your stay ?
do any of them have a 4 star rating ?
yes , actually they all have 4 star rating -s , do you need parking ?
yes , i would like to book 1 that offers parking please .
kirkwood house is a lovely place i would recommend . what day will you be checking in , how long will you be staying , and how many people will it be for ?
i actually just need information on the kirkwood house . what is the postcode and phone number please ?
okay , the postcode is cb41da and the phone number is 01223306283 .
i am also looking for a restaurant to book for friday
i have 5 different restaurant -s i can give you some information for . they are all pretty good .
i am looking to eat indian .
there are more than 5 restaurant -s in cambridge , lol . disregard my last statement . there are 22 indian restaurant -s any preference on price or area ?
i would like it to be in the north as well .",restaurant area,north,
"i need a train leaving from cambridge this thursday
in order to better assist you , may i please have your destination ?
i am going to king s lynn , and i need to arrive by 21:00 .
there are 16 trains traveling that path that will arrive no later than 21:00 . the earliest leave time is 5:11 a . m . is there a time that you would like to leave ?
please get me a ticket for 1 that leaves at 5:11 a . m and send me the reference number .
i have successfully booked you a ticket for 05:11 on thursday . the total fee is 9.8 gbp , payable at the station . the trainid is tr7239 , and your reference number is hlsa9r72 . is there anything else i can do for you today ?
yes ! i am looking for a restaurant that serves corsica food and it should in the centre . can you find me a place to dine ?",restaurant area,centre,
hi ! i am really excited about visiting soon and would like to go to a restaurant in the centre that serves european food . can you help me ?,restaurant area,centre,
"i am looking for an expensive , centrally located restaurant .",restaurant area,centre,
"i want to book a train to stevenage , and i want to leave around 14:00 .
i have several train going to stevenage . where are you departing from and what time would you like to arrive by ?
i am departing from cambridge on saturday . i would like to arrive in stevenage by 14:00 .
there are 4 trains that fit your schedule . the closest in time is the tr8377 which arrives in stevenage at 12:10 . would you like to book a ticket ?
what is the ticket price ?
it will be 10.24 pounds .
can you tell me the travel time as well please ? also , i am looking for an expensive restaurant in the centre for lunch .",restaurant area,centre,
"hi , can you help me find an expensive russian restaurant ?
i am sorry i looked up your criteria and i do not see any expensive russian restaurant -s in my data base
are you looking in the centre area ?",restaurant area,centre,
"i need information on a hotel that include -s free parking please .
there are 29 hotel -s that meet your needs . would you like to narrow your search by area and and or price range ?
i also need free wifi , and it needs to be a hotel , not a guest house or anything like that .
the ashley hotel is in the north area of town in the moderate price range with internet and parking . would you like to book a room ?
yes please , for 5 people and 4 nights on friday .
the booking for ashley hotel was successful . reference number is : 0m3jw724 .
thank you for your help . can i find a place to eat , i am looking for a place serving christmas food in the centre .",restaurant area,centre,
"hi , i need a place to eat on the north side .
there s a low priced restaurant on the north side serving indian food called royal spice . i can give you their address and telephone if that sounds appealing .
i am looking for a greek restaurant specifically , what else is there in the area ?
i did not find nay greek restaurant -s in the north area . do you have another area or cuisine in mind ?
can we search for 1 that serves italian food .
i found da vinci pizzeria , they are located on 20 milton road chesterton and their number is 01223351707 .
is that 1 a cheap restaurant ?",restaurant price range,cheap,
"in need a train from cambridge to stevenage .
i have 70 trains matching that departure and destination . what time would you like to leave or arrive by ?
i would like to arrive by 17:45 on saturday .
i am sorry but i cannot book that timeslot for you . the earliest i have is 1 arriving by 14:10 . is that okay ?
that will be good enough . what is the train id and departure time ?
actually , there s a train arriving at 16:10 . it s train tr8813 , and it departs at 15:21 . would you like me to book that for you ?
what would the price be for that train ?
the price for this train is 10.24 pounds . would you like me to book it ?
no thanks , just that info . can i get a place to dine , i am looking for an expensive place in the west .",restaurant price range,expensive,
"hi , can you help me with my planning ? i need some ideas on place -s to go in town .
do you have a type of attraction you would like to see ?
i would like to visit a museum .
sure , i can help you with that . was there a particular area of town you were looking at ?
i will take your recommendation for 1 . could you provide me with the address and area of the 1 you choose ?
i would highly recommend cambridge artworks located at 5 greens road . it is located on the east side of town .
can i get a reservation please ?
no reservations needed and its free which makes it even better
great ! can you find a restaurant for me too ?
of course . what type of food ?
i would prefer french food .
restauranr 2 two is a nice place , would you like me to book it for you ?
is that in the expensive price range ?",restaurant price range,expensive,
